Age,EdLevel,Employment,WorkExp,YearsCode,DevType,OrgSize,ICorPM,RemoteWork,Industry,Country,CompTotal,LanguageHaveWorkedWith,DatabaseChoice,DatabaseHaveWorkedWith,ConvertedCompYearly,ConvertedCompYearly_w
18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2.0,2.0,Data engineer,"10,000 or more employees",Individual contributor,In-person,Healthcare,India,50000.0,Java;Python;SQL,Yes,PostgreSQL,581.0,581.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,24.0,27.0,Data engineer,"10,000 or more employees",Individual contributor,Remote,Software Development,United States of America,240300.0,C#;HTML/CSS;JavaScript;PowerShell;Python;Scala,Yes,nan,240300.0,240300.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,10.0,Database administrator or engineer,"10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)","Internet, Telecomm or Information Services",Canada,80000.0,Assembly;Bash/Shell (all shells);C;F#;HTML/CSS;JavaScript;PowerShell;Python;Scala;SQL;TypeScript,Yes,Databricks SQL;Dynamodb;Elasticsearch;Oracle;PostgreSQL;Snowflake;Amazon Redshift,58367.0,58367.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6.0,13.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Retail and Consumer Services,Spain,87000.0,Bash/Shell (all shells);Python;SQL,Yes,BigQuery;Microsoft SQL Server;PostgreSQL,100933.0,100933.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,7.0,19.0,Data scientist,500 to 999 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Media & Advertising Services,France,81000.0,Python;SQL,Yes,BigQuery;Clickhouse,93972.0,93972.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,16.0,20.0,Data engineer,20 to 99 employees,People manager,"Hybrid (some in-person, leans heavy to flexibility)",Fintech,Australia,167000.0,Bash/Shell (all shells);JavaScript;Kotlin;Python;SQL;TypeScript,Yes,DuckDB;Dynamodb;Elasticsearch;PostgreSQL;Amazon Redshift,108566.0,108566.0
55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,28.0,40.0,Data or business analyst,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Manufacturing,Spain,56000.0,Bash/Shell (all shells);C#;Delphi;PowerShell;Python;SQL,Yes,MariaDB;Microsoft SQL Server;SQLite,64968.0,64968.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",11.0,17.0,Data engineer,nan,nan,nan,Retail and Consumer Services,France,80000.0,HTML/CSS;Java;JavaScript;Python;SQL,Yes,BigQuery,92812.0,92812.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,11.0,10.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)","Internet, Telecomm or Information Services",Uruguay,96000.0,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;Scala,Yes,Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL,2368.0,2368.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,23.0,23.0,Data or business analyst,20 to 99 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Other:,Brazil,150000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;VBA,Yes,Microsoft SQL Server,27306.0,27306.0
18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,4.0,10.0,Data or business analyst,"10,000 or more employees",Individual contributor,In-person,"Transportation, or Supply Chain",Brazil,28000.0,Ada;Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Lisp;Lua;PowerShell;Prolog;Python;Rust;SQL;VBA,Yes,Datomic;DuckDB;Microsoft SQL Server;PostgreSQL;Snowflake;SQLite,5097.0,5097.0
45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,30.0,20.0,Data or business analyst,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Banking/Financial Services,United States of America,100000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL,No,nan,100000.0,100000.0
55-64 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",45.0,30.0,Data scientist,nan,nan,nan,Government,New Zealand,100000.0,Python,Yes,Snowflake;SQLite,60235.0,60235.0
55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,34.0,34.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,In-person,Higher Education,New Zealand,100000.0,JavaScript;SQL;VBA,Yes,Microsoft Access;Microsoft SQL Server,60235.0,60235.0
45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25.0,25.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Energy,United States of America,150000.0,Python;SQL,Yes,Microsoft SQL Server;Oracle,150000.0,150000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,3.0,8.0,Data or business analyst,"1,000 to 4,999 employees",People manager,Remote,Government,Greece,35000.0,C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Yes,Oracle;PostgreSQL;SQLite,40605.0,40605.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,20.0,10.0,Data scientist,100 to 499 employees,Individual contributor,In-person,Other:,New Zealand,115000.0,Bash/Shell (all shells);C;C++;Fortran;Python;R;SQL,Yes,PostgreSQL;SQLite,69271.0,69271.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,18.0,27.0,Data or business analyst,"10,000 or more employees",People manager,"Hybrid (some in-person, leans heavy to flexibility)",Energy,Brazil,470000.0,HTML/CSS;JavaScript;Python;R;SQL,Yes,PostgreSQL;SQLite,85557.0,85557.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5.0,8.0,Data scientist,20 to 99 employees,People manager,"Hybrid (some in-person, leans heavy to flexibility)",Higher Education,United States of America,78000.0,Bash/Shell (all shells);Elixir;Python;R;SQL,Yes,BigQuery;PostgreSQL;SQLite,78000.0,78000.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,5.0,Data or business analyst,"1,000 to 4,999 employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Other:,Brazil,72000.0,HTML/CSS;JavaScript;SQL;TypeScript,No,nan,13107.0,13107.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6.0,10.0,Data engineer,500 to 999 employees,Individual contributor,Remote,Fintech,Brazil,670000.0,Bash/Shell (all shells);Python;SQL,Yes,BigQuery;PostgreSQL,121965.0,121965.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5.0,6.0,Data engineer,"10,000 or more employees",People manager,"Hybrid (some remote, leans heavy to in-person)",Software Development,India,1200000.0,Python;R;SQL,Yes,Databricks SQL;MySQL;PostgreSQL;SQLite;Amazon Redshift,13949.0,13949.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12.0,17.0,Data scientist,"5,000 to 9,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Manufacturing,Germany,90000.0,Bash/Shell (all shells);JavaScript;MATLAB;PowerShell;Python;SQL,Yes,MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,104413.0,104413.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,11.0,Data or business analyst,"10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Fintech,Australia,150000.0,Bash/Shell (all shells);C;C++;Python;R;Rust;SQL;VBA,Yes,Databricks SQL;Oracle;Snowflake;Amazon Redshift,97514.0,97514.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8.0,13.0,Data scientist,"10,000 or more employees",Individual contributor,Remote,Software Development,United States of America,130222.0,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Yes,Databricks SQL;Microsoft SQL Server;MongoDB,130222.0,130222.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,9.0,12.0,Data scientist,"10,000 or more employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Computer Systems Design and Services,Mexico,936000.0,Bash/Shell (all shells);C++;HTML/CSS;Python;SQL;TypeScript,Yes,nan,49270.0,49270.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,28.0,15.0,Data scientist,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Government,France,60000.0,JavaScript;Python;R;SQL,Yes,DuckDB;PostgreSQL;SQLite,69609.0,69609.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,15.0,22.0,Data engineer,"10,000 or more employees",Individual contributor,Remote,Higher Education,Spain,104000.0,Bash/Shell (all shells);Java;JavaScript;Kotlin;Python;Scala;SQL;TypeScript,Yes,Databricks SQL;Dynamodb;PostgreSQL;Redis;Snowflake;Amazon Redshift,120655.0,120655.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,3.0,5.0,Data engineer,"5,000 to 9,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)","Transportation, or Supply Chain",Netherlands,65000.0,Python;SQL,Yes,Microsoft SQL Server,75410.0,75410.0
45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,12.0,15.0,Data engineer,100 to 499 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)","Transportation, or Supply Chain",Germany,90000.0,Bash/Shell (all shells);PowerShell;Python;SQL,Yes,Databricks SQL;DuckDB;IBM DB2;PostgreSQL;Supabase,104413.0,104413.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,11.0,30.0,Data scientist,"10,000 or more employees",People manager,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United States of America,250.0,Bash/Shell (all shells);C;C++;GDScript;HTML/CSS;JavaScript;Lisp;Prolog;Python;R;SQL,Yes,Elasticsearch;MongoDB;MySQL;Neo4J;PostgreSQL;Redis;SQLite,250.0,250.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,26.0,26.0,Data engineer,500 to 999 employees,Individual contributor,Remote,Energy,Poland,190000.0,HTML/CSS;JavaScript;Python;R;SQL,Yes,BigQuery;Microsoft SQL Server;PostgreSQL;SQLite,51851.0,51851.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,11.0,6.0,Data engineer,Less than 20 employees,Individual contributor,Remote,Software Development,United Kingdom of Great Britain and Northern Ireland,45000.0,Bash/Shell (all shells);Groovy;Python;SQL,Yes,PostgreSQL;SQLite,61264.0,61264.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,18.0,13.0,Data scientist,500 to 999 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Insurance,Belgium,118.0,Bash/Shell (all shells);HTML/CSS;Python;R;SQL,Yes,Microsoft SQL Server,137.0,137.0
45-54 years old,Some college/university study without earning a degree,Employed,19.0,33.0,Data engineer,"10,000 or more employees",People manager,Remote,Computer Systems Design and Services,Spain,60000.0,Assembly;Bash/Shell (all shells);C;C++;Erlang;Go;Groovy;HTML/CSS;Java;PowerShell;Python;R;Scala;SQL,Yes,BigQuery;Cloud Firestore;Databricks SQL;Elasticsearch;MongoDB;MySQL;Neo4J;PostgreSQL;Snowflake;SQLite,69609.0,69609.0
25-34 years old,Some college/university study without earning a degree,Employed,3.0,10.0,Data engineer,Less than 20 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Other:,Greece,14000.0,Python;VBA,Yes,Cassandra;MySQL;PostgreSQL,16242.0,16242.0
25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,10.0,21.0,Data scientist,500 to 999 employees,Individual contributor,Remote,Other:,Sweden,1135988.0,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;R;Ruby;Rust;SQL;TypeScript,nan,PostgreSQL,119076.0,119076.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8.0,10.0,Data scientist,100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Slovenia,50000.0,Bash/Shell (all shells);Java;Python;SQL,Yes,PostgreSQL;SQLite;Amazon Redshift,58007.0,58007.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8.0,13.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Belgium,80200.0,Bash/Shell (all shells);Java;Python;Scala;SQL,Yes,Databricks SQL;PostgreSQL,93044.0,93044.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,15.0,21.0,Data or business analyst,"1,000 to 4,999 employees",Individual contributor,In-person,Manufacturing,United Kingdom of Great Britain and Northern Ireland,40000.0,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;Visual Basic (.Net),Yes,MariaDB;Microsoft SQL Server;MySQL;SQLite,54457.0,54457.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,4.0,11.0,Data scientist,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Insurance,Switzerland,80000.0,C#;GDScript;JavaScript;Lua;Python;Rust,Yes,Databricks SQL;Microsoft SQL Server;Oracle;PostgreSQL,99194.0,99194.0
25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,11.0,15.0,Data scientist,100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Government,Belgium,70000.0,Bash/Shell (all shells);HTML/CSS;PowerShell;Python;TypeScript,Yes,Elasticsearch;MongoDB;PostgreSQL;Redis,81210.0,81210.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,27.0,32.0,Data engineer,Less than 20 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Fintech,Bulgaria,70000.0,Bash/Shell (all shells);PowerShell;Python;SQL,Yes,MySQL;Snowflake;Clickhouse,41515.0,41515.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,4.0,10.0,Data engineer,100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Energy,Switzerland,91000.0,HTML/CSS;PowerShell;Python;R;SQL;VBA,No,nan,112834.0,112834.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2.0,3.0,Data scientist,100 to 499 employees,Individual contributor,Remote,Retail and Consumer Services,Nigeria,2400000.0,HTML/CSS;Java;MATLAB;PHP;Python;R;SQL,Yes,MongoDB;Snowflake,1550.0,1550.0
18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,1.0,3.0,Data scientist,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)","Internet, Telecomm or Information Services",Sweden,300000.0,C,No,nan,31446.0,31446.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,3.0,8.0,Data scientist,100 to 499 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)","Internet, Telecomm or Information Services",Greece,39200.0,Bash/Shell (all shells);Python;SQL,Yes,Databricks SQL;Microsoft SQL Server;MySQL;Oracle,45478.0,45478.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Independent contractor, freelancer, or self-employed",10.0,10.0,Data scientist,"Just me - I am a freelancer, sole proprietor, etc.",Individual contributor,Remote,Healthcare,Switzerland,120000.0,Bash/Shell (all shells);Lisp;Python;R,Yes,Neo4J,148791.0,148791.0
18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,,2.0,Data scientist,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Retail and Consumer Services,Ukraine,156000.0,C;C++;HTML/CSS;Java;JavaScript;Lisp;PowerShell;Python;Scala,Yes,nan,3739.0,3739.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8.0,11.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,Remote,Retail and Consumer Services,Spain,50000.0,C#;HTML/CSS;Java;JavaScript;Lua;PHP;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),Yes,BigQuery;Cosmos DB;IBM DB2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;Snowflake;Supabase,58007.0,58007.0
25-34 years old,Primary/elementary school,Employed,12.0,12.0,Data engineer,100 to 499 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United States of America,1200.0,Ada;Assembly;Bash/Shell (all shells);C;C#;C++;COBOL;Dart;Delphi;Elixir;Erlang;F#;Fortran;GDScript;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Lua;MATLAB;MicroPython;OCaml;Perl;PHP;PowerShell;Prolog;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;Visual Basic (.Net);Zig;Mojo;Gleam,Yes,BigQuery;Cassandra;Cloud Firestore;Cosmos DB;Databricks SQL;Datomic;DuckDB;Dynamodb;Elasticsearch;Firebase Realtime Database;H2;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;Redis;Snowflake;SQLite;Supabase;Clickhouse;Cockroachdb;Amazon Redshift;Pocketbase;Valkey,1200.0,1200.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,10.0,15.0,Data scientist,"5,000 to 9,999 employees",People manager,In-person,Higher Education,United States of America,100000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;R;SQL,Yes,Elasticsearch;Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,100000.0,100000.0
18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4.0,9.0,Database administrator or engineer,20 to 99 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,Russian Federation,2400000.0,Bash/Shell (all shells);Python;Rust,Yes,PostgreSQL,30623.0,30623.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4.0,5.0,Data engineer,"10,000 or more employees",Individual contributor,Remote,Healthcare,United States of America,120000.0,C#;Java;PowerShell;Python;R;Scala;SQL,Yes,BigQuery;Cosmos DB;Databricks SQL;Microsoft SQL Server;Neo4J;Oracle;Snowflake,120000.0,120000.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,7.0,13.0,Data or business analyst,100 to 499 employees,People manager,In-person,Manufacturing,United States of America,100000.0,C++;Python;R;SQL;TypeScript,Yes,BigQuery;H2;Microsoft SQL Server;PostgreSQL;Snowflake;Supabase;Amazon Redshift,100000.0,100000.0
25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,4.0,6.0,Data engineer,20 to 99 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)","Internet, Telecomm or Information Services",United States of America,49000.0,HTML/CSS;JavaScript;PHP;Python;SQL;Visual Basic (.Net),Yes,BigQuery;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;SQLite,49000.0,49000.0
45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,19.0,7.0,Data scientist,20 to 99 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,United Kingdom of Great Britain and Northern Ireland,63000.0,Bash/Shell (all shells);Python,Yes,Dynamodb,85769.0,85769.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,10.0,10.0,Data scientist,100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,United States of America,80000.0,Bash/Shell (all shells);Python;R;SQL,Yes,MySQL;PostgreSQL,80000.0,80000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6.0,12.0,Data scientist,20 to 99 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Other:,Germany,75000.0,Kotlin;Python;Rust,Yes,Databricks SQL;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite;Amazon Redshift,87011.0,87011.0
18-24 years old,Some college/university study without earning a degree,Employed,,14.0,Data engineer,20 to 99 employees,Individual contributor,In-person,Software Development,United States of America,50400.0,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Python;SQL;TypeScript,Yes,MongoDB;MySQL,50400.0,50400.0
25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,6.0,9.0,Data scientist,"10,000 or more employees",Individual contributor,In-person,Government,United States of America,168000.0,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;SQL,Yes,Microsoft SQL Server;MongoDB;SQLite;Supabase,168000.0,168000.0
18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2.0,8.0,Database administrator or engineer,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Healthcare,Canada,67600.0,COBOL,Yes,nan,49320.0,49320.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,14.0,10.0,Data scientist,I don’t know,Individual contributor,Remote,Healthcare,United States of America,190000.0,Bash/Shell (all shells);Python;SQL,Yes,Databricks SQL;PostgreSQL;Snowflake,190000.0,190000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8.0,14.0,Data scientist,100 to 499 employees,Individual contributor,Remote,"Internet, Telecomm or Information Services",Austria,63000.0,Bash/Shell (all shells);Lua;Python;SQL,Yes,MongoDB;PostgreSQL;Snowflake,73089.0,73089.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,14.0,23.0,Data engineer,"10,000 or more employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Healthcare,United States of America,154000.0,Python;SQL,Yes,Databricks SQL;Microsoft SQL Server,154000.0,154000.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6.0,7.0,Data scientist,20 to 99 employees,Individual contributor,In-person,Government,United States of America,187000.0,Bash/Shell (all shells);C#;C++;Python;SQL,Yes,PostgreSQL,187000.0,187000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,4.0,5.0,Data scientist,100 to 499 employees,Individual contributor,In-person,Higher Education,India,1500000.0,Bash/Shell (all shells);C;HTML/CSS;Python,No,nan,17436.0,17436.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5.0,12.0,Data scientist,"10,000 or more employees",Individual contributor,Remote,Banking/Financial Services,Turkey,1100000.0,Bash/Shell (all shells);Go;Python;SQL,Yes,MongoDB;Amazon Redshift,62017.0,62017.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,15.0,22.0,Data engineer,500 to 999 employees,Individual contributor,In-person,Other:,Jordan,18200.0,C#;Dart;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,Yes,Microsoft SQL Server;Oracle,25670.0,25670.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,1.0,5.0,Data scientist,nan,nan,nan,nan,France,20000.0,Python,Yes,MongoDB;MySQL;Neo4J;PostgreSQL;SQLite,23203.0,23203.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8.0,14.0,Data scientist,100 to 499 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Fintech,Germany,105000.0,Bash/Shell (all shells);Python;SQL,Yes,Elasticsearch;MariaDB;MySQL;Oracle;PostgreSQL,121815.0,121815.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,10.0,17.0,Database administrator or engineer,"10,000 or more employees",People manager,"Hybrid (some remote, leans heavy to in-person)",Computer Systems Design and Services,Netherlands,210000.0,Bash/Shell (all shells);C;C++;Python,Yes,DuckDB;MySQL,243631.0,243631.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,11.0,30.0,Data scientist,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Higher Education,United Kingdom of Great Britain and Northern Ireland,35000.0,HTML/CSS;JavaScript;MATLAB;MicroPython;PHP;Python;R;SQL,Yes,SQLite,47650.0,47650.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,,1.0,Data scientist,nan,nan,nan,nan,Republic of Korea,5000000.0,C;C++;Python;R;SQL,Yes,MySQL,3675.0,3675.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,13.0,Data engineer,20 to 99 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,Netherlands,38000.0,SQL,Yes,Elasticsearch;Microsoft SQL Server;MongoDB,44086.0,44086.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,3.0,5.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Healthcare,United States of America,68000.0,HTML/CSS;Python;R;SQL,Yes,Microsoft SQL Server;PostgreSQL,68000.0,68000.0
25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Independent contractor, freelancer, or self-employed",8.0,16.0,Data engineer,100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)","Transportation, or Supply Chain",United Kingdom of Great Britain and Northern Ireland,3456789.0,Python;SQL;VBA;Visual Basic (.Net),Yes,Databricks SQL;DuckDB;Microsoft Access;Microsoft SQL Server;MySQL;Snowflake;SQLite,4706124.0,440856.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",11.0,16.0,Data engineer,nan,nan,nan,Software Development,Czech Republic,1950000.0,Bash/Shell (all shells);HTML/CSS;Python;SQL,Yes,Cosmos DB;Databricks SQL;DuckDB;Microsoft SQL Server;PostgreSQL;Snowflake,91271.0,91271.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",9.0,15.0,Data scientist,nan,nan,nan,Other:,Italy,80000.0,Java;Kotlin;Python;SQL,Yes,DuckDB;Dynamodb;MongoDB;PostgreSQL;Snowflake,92812.0,92812.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,16.0,20.0,Data engineer,"10,000 or more employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Other:,Germany,110000.0,JavaScript;Python,Yes,MySQL;PostgreSQL;Snowflake;SQLite,127616.0,127616.0
